B094KVYZSC,2022,3,16,hydration spa,hyaluronic serum,dry hair,works well,spa therapy,hyaluronic acid,long time,curly hair,hair feeling,hair therapy,therapy shampoo,last a long,shoulder length,works great,smells good,really like,without weighing,therapy conditioner,soft and shiny,large bottle,2022-03-16 00:10:52.512604
B094KT28DV,2022,3,16,breakage remedy,hair therapy,nutrient-lock serum,works well,fine hair,remedy with nutrient-lock,therapy shampoo,soft and manageable,therapy conditioner,super soft,smells great,damaged hair,damaged hair and breakage,fine thin,leaves my hair,easy to use,shampoo and conditioner,feeling soft,hair feeling,large bottle,2022-03-16 00:11:00.049394
B000R8QVY4,2022,3,16,tea tree,lemon sage,paul mitchell,fine hair,love this shampoo,plastic bag,tree lemon,thickening shampoo,travel size,sage thickening,highly recommend,smells good,thickening spray,trial size,thicken my hair,makes my hair,smells nice,last a long,leaked inside,shampoo and conditioner,2022-03-16 00:11:07.921652
B087CY8B2R,2022,3,16,argan oil,long hair,great shampoo,makes your hair,hair soft,like this shampoo,pump,healthy,scent,thicker,moisturizing,natural,smell,2022-03-16 00:11:14.870887
B08VW53HN6,2022,3,16,hair loss,majestic pure,biotin shampoo,every other day,leaves hair,really like,soon to tell,make my hair,hair feels,smells good,fine hair,thinning hair,far i like,help my hair,hair falling,hair look,used this shampoo,hair soft,hair was really thinning,good shampoo,2022-03-16 00:11:21.196390
B000MD65FO,2022,3,16,tea tree,paul mitchell,tree oil,dry scalp,highly recommend,itchy scalp,mitchell tea,plastic bag,tree special,every day,great shampoo,oily hair,head and shoulders,shampoo ever,real deal,body wash,tingling sensation,long time,favorite shampoo,inside the box,2022-03-16 00:11:27.751194
B094W8YZQ4,2022,3,16,sal therapeutic,salicylic acid,therapeutic shampoo,lathers well,fragrance free,every day,works wonders,seborrheic dermatitis,works well,active ingredient,since he started,started using,shampoo works,dandruff psoriasis,treatment for dandruff,scalp build-up,regular shampoo,using this shampoo,smell,build,2022-03-16 00:11:34.576967
B00ILBUEVK,2022,3,16,color treated,treated hair,shampoo and conditioner,best shampoo,love this shampoo,hair soft,long time,travel size,sulfate free,really like,goes a long,love the smell,long way,great shampoo,hair feeling,many years,worth the money,soft and shiny,every day,works well,2022-03-16 00:11:42.128895
B08SSFFH6N,2022,3,16,purple shampoos,color extend,extend graydiant,travel size,blonde hair,smells nice,white hair,yellow tones,gray looks silver,small amount,soft and shiny,silver hair,continue to use,shampoo and conditioner,dry and brittle,really helps,even though,makes my hair,need to use,light blonde,2022-03-16 00:11:48.585051
B003JKDNQQ,2022,3,16,paul mitchell,awapuhi shampoo,best shampoo,years ago,real deal,mitchell awapuhi,smells good,small amount,body wash,everyday,using this shampoo for years,smells great,highly recommend,real thing,sensitive skin,shampoo ever,long time,smells like,works great,squeaky clean,2022-03-16 00:11:55.067871
